t,G_rad,RH,T_air,occ_proxy,notes
0,0.0,42.5,11.937822,0.05,SYNTHETIC_DEMO;recipe=v1;tz=Australia/Sydney
1,0.0,48.529524,11.238519,0.05,SYNTHETIC_DEMO;recipe=v1;tz=Australia/Sydney
2,0.0,55.0,11.0,0.05,SYNTHETIC_DEMO;recipe=v1;tz=Australia/Sydney
3,0.0,61.470476,11.238519,0.05,SYNTHETIC_DEMO;recipe=v1;tz=Australia/Sydney
4,0.0,67.5,11.937822,0.05,SYNTHETIC_DEMO;recipe=v1;tz=Australia/Sydney
5,0.0,72.67767,13.050253,0.05,SYNTHETIC_DEMO;recipe=v1;tz=Australia/Sydney
6,0.0,76.650635,14.5,0.15,SYNTHETIC_DEMO;recipe=v1;tz=Australia/Sydney
7,148.134679,79.148146,16.188267,0.15,SYNTHETIC_DEMO;recipe=v1;tz=Australia/Sydney
8,326.456461,80.0,18.0,0.85,SYNTHETIC_DEMO;recipe=v1;tz=Australia/Sydney
9,494.815467,79.148146,19.811733,0.85,SYNTHETIC_DEMO;recipe=v1;tz=Australia/Sydney
10,631.099769,76.650635,21.5,0.85,SYNTHETIC_DEMO;recipe=v1;tz=Australia/Sydney
11,719.438702,72.67767,22.949747,0.85,SYNTHETIC_DEMO;recipe=v1;tz=Australia/Sydney
12,750.0,67.5,24.062178,0.85,SYNTHETIC_DEMO;recipe=v1;tz=Australia/Sydney
13,719.438702,61.470476,24.761481,0.85,SYNTHETIC_DEMO;recipe=v1;tz=Australia/Sydney
14,631.099769,55.0,25.0,0.85,SYNTHETIC_DEMO;recipe=v1;tz=Australia/Sydney
15,494.815467,48.529524,24.761481,0.85,SYNTHETIC_DEMO;recipe=v1;tz=Australia/Sydney
16,326.456461,42.5,24.062178,0.85,SYNTHETIC_DEMO;recipe=v1;tz=Australia/Sydney
17,148.134679,37.32233,22.949747,0.85,SYNTHETIC_DEMO;recipe=v1;tz=Australia/Sydney
18,0.0,33.349365,21.5,0.15,SYNTHETIC_DEMO;recipe=v1;tz=Australia/Sydney
19,0.0,30.851854,19.811733,0.15,SYNTHETIC_DEMO;recipe=v1;tz=Australia/Sydney
20,0.0,30.0,18.0,0.15,SYNTHETIC_DEMO;recipe=v1;tz=Australia/Sydney
21,0.0,30.851854,16.188267,0.05,SYNTHETIC_DEMO;recipe=v1;tz=Australia/Sydney
22,0.0,33.349365,14.5,0.05,SYNTHETIC_DEMO;recipe=v1;tz=Australia/Sydney
23,0.0,37.32233,13.050253,0.05,SYNTHETIC_DEMO;recipe=v1;tz=Australia/Sydney
24,0.0,42.5,11.937822,0.05,SYNTHETIC_DEMO;recipe=v1;tz=Australia/Sydney
25,0.0,48.529524,11.238519,0.05,SYNTHETIC_DEMO;recipe=v1;tz=Australia/Sydney
26,0.0,55.0,11.0,0.05,SYNTHETIC_DEMO;recipe=v1;tz=Australia/Sydney
27,0.0,61.470476,11.238519,0.05,SYNTHETIC_DEMO;recipe=v1;tz=Australia/Sydney
28,0.0,67.5,11.937822,0.05,SYNTHETIC_DEMO;recipe=v1;tz=Australia/Sydney
29,0.0,72.67767,13.050253,0.05,SYNTHETIC_DEMO;recipe=v1;tz=Australia/Sydney
30,0.0,66.650635,14.5,0.15,SYNTHETIC_DEMO;recipe=v1;tz=Australia/Sydney;regime_shift=hotspell_t30_36
31,199.981816,69.148146,16.188267,0.15,SYNTHETIC_DEMO;recipe=v1;tz=Australia/Sydney;regime_shift=hotspell_t30_36
32,440.716223,70.0,18.0,0.85,SYNTHETIC_DEMO;recipe=v1;tz=Australia/Sydney;regime_shift=hotspell_t30_36
33,668.00088,69.148146,19.811733,0.85,SYNTHETIC_DEMO;recipe=v1;tz=Australia/Sydney;regime_shift=hotspell_t30_36
34,851.984689,66.650635,21.5,0.85,SYNTHETIC_DEMO;recipe=v1;tz=Australia/Sydney;regime_shift=hotspell_t30_36
35,971.242248,62.67767,22.949747,0.85,SYNTHETIC_DEMO;recipe=v1;tz=Australia/Sydney;regime_shift=hotspell_t30_36
36,1012.5,57.5,24.062178,0.85,SYNTHETIC_DEMO;recipe=v1;tz=Australia/Sydney;regime_shift=hotspell_t30_36
37,719.438702,61.470476,24.761481,0.85,SYNTHETIC_DEMO;recipe=v1;tz=Australia/Sydney
38,631.099769,55.0,25.0,0.85,SYNTHETIC_DEMO;recipe=v1;tz=Australia/Sydney
39,494.815467,48.529524,24.761481,0.85,SYNTHETIC_DEMO;recipe=v1;tz=Australia/Sydney
40,326.456461,42.5,24.062178,0.85,SYNTHETIC_DEMO;recipe=v1;tz=Australia/Sydney
41,148.134679,37.32233,22.949747,0.85,SYNTHETIC_DEMO;recipe=v1;tz=Australia/Sydney
42,0.0,33.349365,21.5,0.15,SYNTHETIC_DEMO;recipe=v1;tz=Australia/Sydney
43,0.0,30.851854,19.811733,0.15,SYNTHETIC_DEMO;recipe=v1;tz=Australia/Sydney
44,0.0,30.0,18.0,0.15,SYNTHETIC_DEMO;recipe=v1;tz=Australia/Sydney
45,0.0,30.851854,16.188267,0.05,SYNTHETIC_DEMO;recipe=v1;tz=Australia/Sydney
46,0.0,33.349365,14.5,0.05,SYNTHETIC_DEMO;recipe=v1;tz=Australia/Sydney
47,0.0,37.32233,13.050253,0.05,SYNTHETIC_DEMO;recipe=v1;tz=Australia/Sydney
